id,question,answer
250,ผู้ป่วยคิวหมายเลข P013 เป็นเพศใด?  ก. ชาย ข. หญิง ค. ไม่ระบุ ง. ข้อมูลไม่ชัดเจน ,
251,การดูแลรักษาผู้ป่วยวัณโรครวมทั้งการรักษาการติดเชื้อวัณโรคระยะแฝงมีรายละเอียดอยู่ในเอกสารหมายเลขใด?  ก. เอกสารหมายเลข 1 ข. เอกสารหมายเลข 2 ค. เอกสารหมายเลข 3 ง. เอกสารหมายเลข 4 ,
252,ค่าบริการยาเม็ดเสริมธาตุเหล็กและกรดโฟลิกในเขต 1-12 จ่ายในอัตราเท่าใด?  ก. 50 บาทต่อคนต่อปี ข. 80 บาทต่อคนต่อปี ค. 100 บาทต่อคนต่อปี ง. 120 บาทต่อคนต่อปี ,
253,ค่าติดตามการรักษากลุ่ม B ในปี 2568 งวดที่ 1 คิดเป็นร้อยละเท่าใดของค่ารักษาทั้งหมด?  ก. 25% ข. 50% ค. 75% ง. 100% ,
254,ผู้ป่วยมีอาการช็อคหลังได้รับ contrast agent สำหรับ CT Scan ควรเช็คประวัติการแพ้อะไร?  ก. Penicillin ข. Iodine/Contrast dye ค. Latex ง. Sulfa drugs ,
255,การรักษาผู้ป่วยโรคหลอดเลือดสมองตีบหรืออุดตันในปี 2567 ต้องได้รับการตรวจใดก่อนและหลังการฉีดยาละลายลิ่มเลือด?  ก. MRI Brain ข. CT Brain ค. X-ray Brain ง. ไม่มีการตรวจใด ๆ ,
256,ห้อง R001 เป็นห้องแผนกใด?  ก. consultation ข. emergency ค. inpatient ง. operating ,
257,เว็บไซต์ใดที่สามารถสืบค้นข้อมูลกองทุนหลักประกันสุขภาพในระดับท้องถิ่นหรือพื้นที่ได้?  ก. www.nhso.go.th ข. law.nhso.go.th ค. eis.nhso.go.th ง. obt.nhso.go.th ,
258,การรับบริการตรวจติดตามผลการรักษาโรคมะเร็งหลังการรักษาหายต้องใช้ใบส่งตัวหรือไม่?  ก. ต้องใช้ใบส่งตัวทุกครั้ง ข. ไม่ต้องใช้ใบส่งตัว ค. ใช้เฉพาะกรณีฉุกเฉิน ง. ใช้เฉพาะกรณีที่แพทย์ระบุ ,
259,การจ่ายค่าใช้จ่ายสำหรับบริการผู้ติดเชื้อเอชไอวีและผู้ป่วยเอดส์มีแนวทางอย่างไร?  ก. จ่ายตามเงินเดือน ข. จ่ายตามผลงานการให้บริการ ค. จ่ายตามชั่วโมงการทำงาน ง. จ่ายตามจำนวนผู้ป่วย ,
260,การให้บริการฝังเข็มหรือบริการฝังเข็มร่วมกับกระตุ้นไฟฟ้าในผู้ป่วยโรคหลอดเลือดสมองมีอัตราจ่ายครั้งละเท่าใด?  ก. 100 บาท ข. 150 บาท ค. 200 บาท ง. 250 บาท ,
261,บริการกรณีสำรองเตียงในระบบหลักประกันสุขภาพแห่งชาติใช้ระบบใดในการส่งข้อมูลเพื่อขอรับค่าใช้จ่าย?  ก. e-Claim ข. e-Health ค. e-Payment ง. e-Transfer ,
262,"ค่าบริการตรวจยืนยันโรคไวรัสตับอักเสบซีด้วยวิธี HCV RNA (qualitative method) มีค่าใช้จ่ายเท่าใด?  ก. 50 บาท ข. 100 บาท ค. 1,690 บาท ง. 400 บาท ",
263,การตรวจคัดกรองธาลัสซีเมียในสามีหรือคู่ของหญิงตั้งครรภ์ประกอบด้วยการตรวจใด?  ก. CBC + MCV ข. DCIP/HbE screening ค. ทั้ง ก. และ ข. ง. ไม่มีข้อใดถูกต้อง ,
264,ยา PreP ใช้สำหรับวัตถุประสงค์ใด?  ก. ป้องกันการติดเชื้อเอชไอวีก่อนการสัมผัสเชื้อ ข. ป้องกันการติดเชื้อเอชไอวีหลังการสัมผัสเชื้อ ค. รักษาผู้ที่ติดเชื้อเอชไอวี ง. บรรเทาอาการของผู้ที่ติดเชื้อเอชไอวี ,
265,การผ่าตัดฝังประสาทหูเทียมให้บริการแก่ผู้รับบริการที่มีอายุน้อยกว่าเท่าใด?  ก. 3 ปี ข. 4 ปี ค. 5 ปี ง. 6 ปี ,
266,ค่าบริการเลนส์สายตาผิดปกติทั่วไป (Stock lens) มีค่าใช้จ่ายเท่าใด?  ก. 800 บาท ข. 1000 บาท ค. 500 บาท ง. 350 บาท ,
267,ผู้มีสิทธิหลักประกันสุขภาพสามารถเข้ารับบริการที่หน่วยบริการใดได้บ้างในกรณีอุบัติเหตุฉุกเฉิน?  ก. หน่วยบริการประจำที่ลงทะเบียนไว้เท่านั้น ข. หน่วยบริการใดก็ได้ ค. หน่วยบริการที่ใกล้เคียงที่สุดเท่านั้น ง. ไม่มีข้อใดถูกต้อง ,
268,บริการใดที่ครอบคลุมการดูแลผู้ป่วยโรคหายาก?  ก. การบริหารกองทุนวัณโรคร ข. การดูแลผู้ป่วยโรคโลหิตจางธาลัสซีเมีย ค. ทันตกรรมจัดฟันการผ่าตัด ง. กรุณาบริการผู้ป่วยโรคหายาก ,
269,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติไม่รวมถึงสถานบริการใด?  ก. โรงพยาบาลเอกชน ข. โรงพยาบาลชุมชน ค. โรงพยาบาลสัตว์ ง. คลินิกชุมชนอบอุ่น ,
270,บริการคัดกรองพยาธิใบไม้ในตับด้วยปัสสาวะ (OV-RDT) ถูกเพิ่มในปีงบประมาณใด?  ก. ปี 2566 ข. ปี 2567 ค. ปี 2568 ง. ไม่ได้ระบุปีงบประมาณ ,
271,"อัตราจ่ายสำหรับเด็กแรกเกิดที่น้ำหนักน้อยกว่า 1,500 กรัมหรือป่วย ที่ได้รับหัตถการเพื่อการรักษาที่จำเป็นและราคาแพงคือเท่าใด?  ก. 8,350 บาท/Adj.RW ข. 9,000 บาท/Adj.RW ค. 12,000 บาท/Adj.RW ง. 15,000 บาท/Adj.RW ",
272,กลุ่มเป้าหมายใดที่สามารถรับบริการตรวจคัดกรองพยาธิใบไม้ตับด้วยการตรวจปัสสาวะ OV-RDT?  ก. ผู้ที่เคยกินยาถ่ายพยาธิใบไม้ตับ ข. ผู้ที่เคยมีประวัติติดเชื้อพยาธิใบไม้ตับ ค. ผู้ที่มีประวัติการกินปลาบ้านจีดสุกๆ ดิบๆ ง. ถูกทุกข้อ ,
273,ข้อใดเป็นการตรวจคัดกรองเพื่อค้นหาภาวะเสี่ยงต่อการเสียสุขภาพ?  ก. การตรวจเลือดคัดกรองเบาหวาน ข. การฉีดวัคซีนในเด็ก ค. การให้คำปรึกษาการวางแผนครอบครัว ง. การให้ยาต้านไวรัสเอชไอวี ,
274,กองทุนระบบการดูแลระยะยาวด้านสาธารณสุขสำหรับผู้สูงอายุที่มีภาวะพึ่งพิง (LTC) ดำเนินการในระดับใด?  ก. ระดับจังหวัด ข. ระดับอำเภอ ค. ระดับตำบล ง. ระดับครอบครัว ,
275,กลุ่มเป้าหมายสำหรับบริการป้องกันและควบคุมโรคโลหิตจางธาลัสซีเมียในหญิงตั้งครรภ์ประกอบด้วยใครบ้าง?  ก. หญิงตั้งครรภ์เท่านั้น ข. สามีหรือคู่ของหญิงตั้งครรภ์เท่านั้น ค. หญิงตั้งครรภ์และสามีหรือคู่ของหญิงตั้งครรภ์ ง. หญิงตั้งครรภ์ที่มีสิทธิประกันสุขภาพถ้วนหน้าเท่านั้น ,
276,หน่วยบริการที่สามารถเข้าร่วมเป็นสถานบริการสำรองเตียงต้องผ่านการตรวจมาตรฐานและทำสัญญากับหน่วยงานใด?  ก. สำนักงานหลักประกันสุขภาพแห่งชาติ ข. โรงพยาบาลประจำเขต ค. สำนักงานเขตแต่ละเขต ง. หน่วยงานสาธารณสุขอื่น ๆ ,
277,โปรแกรมใดที่ใช้ในการบันทึกผลงานและประมวลผลการจ่ายค่าบริการตรวจยีน BRCA1/BRCA2 ในเขต 1-13?  ก. โปรแกรม Microsoft Excel ข. โปรแกรม e-Claim ค. โปรแกรม SAP ง. โปรแกรม HIS ,
278,ในการลงทะเบียนผู้ป่วย จะต้องใช้โปรแกรมใด?  ก. โปรแกรม DMIS ข. โปรแกรม Excel ค. โปรแกรม Word ง. โปรแกรม PowerPoint ,
279,การเบิกค่าใช้จ่ายสำหรับบริการผ่าตัดใส่รากฟันเทียมใช้โปรแกรมใด?  ก. e-Claim ข. ระบบ VMI ค. ระบบ HOSxP ง. ระบบ SAP ,
280,ยาน้ำมันสารสกัดกัญชาที่มี delta-9-tetrahydrocannabinol (THC) ไม่เกิน 3 mg/drop ใช้ได้ในกรณีใด?  ก. ผู้ป่วยโรคหัวใจ ข. ผู้ป่วยมะเร็ง ค. ผู้ป่วยเบาหวาน ง. ผู้ป่วยความดันโลหิตสูง ,
281,ห้องไหนที่มีเครื่อง Defibrillator อยู่บ้าง?  ก. R001 ข. R002 ค. R003 ง. R004 ,
282,สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 8 อุดรธานี ตั้งอยู่บนถนนใด?  ก. ถนนราชสีมา - โชคชัย ข. ถนนศรีณรงค์ ค. ถนนวัฒนานุวงศ์ ง. ถนนเพชรเกษม ,
283,เว็บไซต์ของสำนักงานหลักประกันสุขภาพแห่งชาติ เขต 5 ราชบุรี คืออะไร?  ก. http://ratchaburi.nhso.go.th/ ข. http://rayong.nhso.go.th/ ค. http://khonkaen.nhso.go.th/ ง. http://saraburi.nhso.go.th/ ,
284,การกระทำใดที่ไม่อยู่ในประเภทและขอบเขตของบริการสาธารณสุขที่กองทุนหลักประกันสุขภาพแห่งชาติครอบคลุม?  ก. การกระทำใดๆ เพื่อความสวยงามโดยไม่มีข้อบกพร่องซึ่งทางการแพทย์กำหนด ข. การบริการทางการแพทย์อื่นตามที่คณะกรรมการหลักประกันสุขภาพแห่งชาติกำหนด ค. การรักษาที่มีความจำเป็นทางการแพทย์ ง. ก และ ข ,
285,ยาประคบในปีงบประมาณ 2568 มีอัตราจ่ายไม่เกินกี่บาทต่อคอร์ส/ครั้ง?  ก. 188.28 บาท ข. 258.72 บาท ค. 195.30 บาท ง. 84.00 บาท ,
286,การจ่ายค่าพาหนะส่งต่อในเงื่อนไขใหม่ 2568 มีอัตราคำนวณอย่างไร?  ก. Ontop = 500 + อัตราตามระยะทาง (กิโลเมตร) x 2 x 4 ข. Ontop = 300 + อัตราตามระยะทาง (กิโลเมตร) x 3 x 5 ค. Ontop = 600 + อัตราตามระยะทาง (กิโลเมตร) x 2 x 3 ง. Ontop = 400 + อัตราตามระยะทาง (กิโลเมตร) x 1 x 4 ,
287,ประกาศสำนักงานหลักประกันสุขภาพแห่งชาติ เรื่อง การจ่ายค่าใช้จ่ายเพื่อบริการสาธารณสุข กรณีบริการควบคุม ป้องกัน และรักษาผู้ป่วยโรคเบาหวานและความดันโลหิตสูง พ.ศ. ๒๕๖๖ ถูกออกเมื่อใด?  ก. พ.ศ. ๒๕๖๔ ข. พ.ศ. ๒๕๖๕ ค. พ.ศ. ๒๕๖๖ ง. พ.ศ. ๒๕๖๗ ,
288,บริการใดที่อยู่ในประกาศการจ่ายค่าใช้จ่ายเพื่อบริการสาธารณสุข กรณีบริการเฉพาะโรค?  ก. การดูแลรักษาผู้ป่วยโรคลำลังซึมีย์ ข. การบริหารกองทุนวัณโรค ค. การบริการผู้ป่วยโรคหายาก ง. ถูกทุกข้อ ,
289,โรงพยาบาลใดที่สังกัดมหาวิทยาลัยสงขลานครินทร์และให้บริการใช้หุ่นยนต์ช่วยผ่าตัด?  ก. โรงพยาบาลสงขลานครินทร์ ข. โรงพยาบาลมหาราชนครเชียงใหม่ ค. โรงพยาบาลราชวิถี ง. โรงพยาบาลรามาธิบดี ,
290,คนไข้ P005 มี Triglycerides = 210 mg/dl กิน Simvastatin อยู่แล้ว แต่ยังสูง ควรปรับการรักษาอย่างไร?  ก. เพิ่มขนาด Simvastatin ข. เพิ่ม Fenofibrate ค. เปลี่ยนเป็น Atorvastatin ง. ปรึกษาแพทย์โรคหัวใจ ,
291,"อัตราจ่ายตามระบบ DRGs สำหรับบริการกรณีสำรองเตียงสูงสุดไม่เกินเท่าใดต่อ Adj.RW?  ก. 10,000 บาท ข. 12,000 บาท ค. 15,000 บาท ง. 18,000 บาท ",
292,วัตถุประสงค์ของการจัดทำคู่มือสิทธิหลักประกันสุขภาพแห่งชาติในรูปแบบ E-Book คืออะไร?  ก. เพื่อให้ประชาชนได้รับข้อมูลที่ทันสมัย ข. เพื่อให้หน่วยบริการได้รับข้อมูลที่ถูกต้อง ค. เพื่อสร้างความเข้าใจที่ตรงกันระหว่างประชาชนและหน่วยบริการ ง. ถูกทุกข้อ ,
293,บุคคลที่ใช้สิทธิหลักประกันสุขภาพแห่งชาติสามารถเปลี่ยนหน่วยบริการประจำได้กี่ครั้งต่อปี?  ก. 2 ครั้ง ข. 3 ครั้ง ค. 4 ครั้ง ง. 5 ครั้ง ,
294,ฉันต้องการใช้บริการ Hormone Therapy ฉันต้องไปที่แผนกไหน?  ก. Cardiology ข. Endocrinology ค. Emergency ง. Orthopedics ,
295,การสร้างเสริมภูมิคุ้มกันรวมถึงการทำหัตถการใด?  ก. การตรวจวัดสายตาเด็ก ข. การเคลือบฟลูออไรด์ ค. การตรวจเลือดคัดกรองภาวะชิด ง. การให้คำปรึกษาการเลิกบุหรี่ ,
296,การตรวจค้นหาและคัดกรองวัณโรคแบบเข้มข้นในกลุ่มเสี่ยงสูงมีชื่อย่อว่าอะไร?  ก. PP FS ข. TST ค. NTIP ง. DMIS ,
297,ปริมาณการใช้ยาคุ้มสยามสูงสุดต่อคนต่อเดือนสำหรับขนาด 500 มก./แคปซูลคือเท่าใด?  ก. 60 แคปซูล ข. 90 แคปซูล ค. 120 แคปซูล ง. 150 แคปซูล ,
298,อัตราค่าตรวจคัดกรอง TSH รวมค่าขนส่ง จ่ายในอัตราเท่าใดต่อครั้งต่อคน?  ก. 100 บาท ข. 135 บาท ค. 250 บาท ง. 350 บาท ,
299,ประชากรกลุ่มเสี่ยงกลุ่มใดที่ต้องเข้ารับการตรวจคัดกรองไวรัสตับอักเสบซีทุกปี?  ก. ผู้ติดเชื้อเอชไอวีเอดส์ ข. ผู้ใช้ยาเสพติดด้วยวิธีฉีด ค. กลุ่มชายมีเพศสัมพันธ์กับชาย ง. ถูกทุกข้อ ,
300,หน่วยบริการร่วมให้บริการต้องมีข้อตกลงอะไร?  ก. ข้อตกลงทางวาจากับหน่วยบริการประจำ ข. ข้อตกลงเป็นหนังสือกับหน่วยบริการประจำหรือสำนักงาน ค. ข้อตกลงทางอีเมลกับ สปสช. ง. ข้อตกลงกับผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ ,
301,หน่วยบริการใดสามารถให้บริการตรวจคัดกรองโรคพันธุกรรมเมตาบอลิกด้วยเครื่อง TMS?  ก. โรงพยาบาลเอกชนเท่านั้น ข. หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ ค. คลินิกเอกชนเท่านั้น ง. ศูนย์ดูแลสุขภาพชุมชน ,
302,สถานพยาบาลที่สามารถให้บริการทำหมันได้ต้องเป็นสถานพยาบาลประเภทใด?  ก. สถานพยาบาลเฉพาะทาง ข. สถานพยาบาลตามบัตรรับรองสิทธิฯ หรือ เครือข่าย ค. สถานพยาบาลเอกชนเท่านั้น ง. สถานพยาบาลในต่างประเทศ ,
303,บุคคลในกลุ่ม 21 กลุ่มที่ประกาศโดยกระทรวงสาธารณสุขต้องจ่ายค่าบริการ 30 บาทหรือไม่?  ก. ต้องจ่าย ข. ไม่ต้องจ่าย ค. จ่ายบางกรณี ง. จ่ายเฉพาะครั้งแรก ,
304,"หน่วยบริการใดที่สามารถให้บริการตามนโยบาย ""เจ็บป่วยฉุกเฉินวิกฤตมีสิทธิทุกที่"" ได้?  ก. โรงพยาบาลเอกชนทุกแห่ง ข. โรงพยาบาลในเครือข่ายโรงพยาบาลกลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย ค. คลินิกทั่วไป ง. ทุกหน่วยบริการที่มีแพทย์ประจำ ",
305,ข้าราชการสามารถเข้ารับบริการรักษาพยาบาลได้ที่ใด?  ก. โรงพยาบาลเอกชน ข. โรงพยาบาลของรัฐ ค. คลินิกเฉพาะทาง ง. ทุกข้อถูกต้อง ,
306,เมื่อผู้ป่วยฉุกเฉินวิกฤตมีสิทธิได้รับความคุ้มครองตามกฎหมายว่าด้วยการคุ้มครองผู้ประสบภัยจากรถ ควรทำอย่างไร?  ก. ใช้สิทธิหลักประกันสุขภาพแห่งชาติก่อน ข. ใช้สิทธิประกันชีวิตก่อน ค. ใช้สิทธิตามกฎหมายคุ้มครองผู้ประสบภัยจากรถก่อน ง. ใช้สิทธิผู้ประกันตนคนพิการก่อน ,
307,การตรวจสอบก่อนการจ่าย (Pre audit) ดำเนินการผ่านระบบใด?  ก. Manual Review ข. On Screen Review ค. Paper Review ง. Online Submission ,
308,ผู้มีสิทธิรับบริการผ่าตัดใส่รากฟันเทียมประกอบด้วยสิทธิใดบ้าง?  ก. สิทธิหลักประกันสุขภาพแห่งชาติ ข. สิทธิผู้ประกันตนคนพิการ (D1) ค. ทั้ง ก และ ข ง. ไม่มีข้อใดถูกต้อง ,
309,การใช้สิทธินโยบายปฐมภูมิไปที่ไหนก็ได้มีเงื่อนไขอะไรบ้าง?  ก. ต้องเข้ารับการรักษากรณีผู้ป่วยนอก (OPD) ข. ต้องไม่ใช่กรณีรักษาต่อเนื่อง ค. ต้องรักษาในโรงพยาบาลเอกชนเท่านั้น ง. ก และ ข ถูกต้อง ,
310,ผู้ใดในกลุ่มต่อไปนี้ไม่มีสิทธิหลักประกันสุขภาพแห่งชาติ?  ก. เด็กแรกเกิดที่ไม่มีสิทธิสวัสดิการการรักษาพยาบาลข้าราชการจากบิดามารดา ข. บุตรข้าราชการที่บรรลุนิติภาวะและไม่มีสิทธิประกันสุขภาพจากหน่วยงานรัฐ ค. ผู้ประกอบอาชีพอิสระที่เป็นผู้ประกันตน ง. ข้าราชการที่เกษียณอายุโดยมิได้รับบำนาญ ,
311,กลุ่มเป้าหมายใดที่เน้นให้บริการตรวจคัดกรองวัณโรคในปีงบประมาณ 2567-2568?  ก. ผู้สูงอายุ ข. ผู้ที่มีความเสี่ยงสูงต่อการติดเชื้อวัณโรค ค. เด็กแรกเกิด ง. ผู้ป่วยโรคหัวใจ ,
312,หน่วยบริการใดที่มีศักยภาพในการตรวจคัดกรองพยาธิใบไม้ตับด้วยการตรวจปัสสาวะ?  ก. หน่วยบริการที่รับการส่งต่อเฉพาะด้านเทคนิคการแพทย์ ข. หน่วยบริการที่รับการส่งต่อเฉพาะด้านการพยาบาลและการผดุงครรภ์ ค. หน่วยบริการที่รับการส่งต่อเฉพาะด้านเกสซธรรม ง. ถูกทุกข้อ ,
313,สิทธิใดที่สามารถใช้บริการผ่าตัดข้อเข่าเทียมได้?  ก. สิทธิหลักประกันสุขภาพแห่งชาติ ข. สิทธิผู้ประกันตนคนพิการ (D1) ค. สิทธิการรักษาพยาบาลข้าราชการ ง. ก และ ข ,
314,หมายเลขโทรศัพท์ใดที่สามารถติดต่อศูนย์ประสานงานคุมครองสิทธิผู้ป่วยฉุกเฉินวิกฤตได้?  ก. 02-8721669 ข. 02-1937057 ค. 1426 ง. 1669 ,
315,การจ่ายยาเสริมธาตุเหล็ก กรดโฟลิก ไอโอดีน จ่ายให้ไม่เกินกี่ครั้งต่อการคลอด?  ก. 1 ครั้ง ข. 2 ครั้ง ค. 3 ครั้ง ง. 4 ครั้ง ,
316,สิทธิหลักประกันสุขภาพแห่งชาติ (UC) ครอบคลุมการรักษาโรคใด?  ก. โรคฮีโมฟีเลีย ข. โรคเลือดออกง่ายวอนวิลลิแบรนด์ ค. โรคเบาหวาน ง. ถูกทั้ง ก และ ข ,
317,ห้อง R005 (OR01) กำลังซ่อมบำรุง Dr. Robert Martinez ต้องผ่าตัดเข่า คนไข้ P012 วันที่ 2024-08-05 เวลา 08:00 มีห้องอื่นใช้ได้หรือไม่?  ก. มี - R001 ข. มี - R004 ค. ไม่มี ง. ต้องเลื่อนการผ่าตัด ,
318,วัคซีนโปลิโอภิน (OPV3) ควรได้รับเมื่ออายุเท่าไร?  ก. 2 เดือน ข. 4 เดือน ค. 2 ปี 6 เดือน ง. 4 ปี ,
319,"ค่าพาหนะส่งกลับจากศูนย์การดูแลผู้ป่วยโรคหายากจ่ายตามอัตราใด?  ก. จ่ายตามจริงไม่เกิน 1,000 บาท ข. จ่ายตามอัตราจ่ายในระบบปกติ ค. จ่ายตามอัตราจ่ายในระบบพิเศษ ง. จ่ายตามอัตราจ่ายในระบบฉุกเฉิน ",
320,"คำปรึกษาใส่ท่าทางอนามัยมีค่าใช้จ่ายเท่าใด?  ก. 150 บาท ข. 800 บาท ค. 2,150 บาท ง. ไม่มีค่าใช้จ่าย ",
321,กองทุนฟื้นฟูสมรรถภาพที่จำเป็นต่อสุขภาพดำเนินการโดยองค์กรใด?  ก. เทศบาลตำบล ข. องค์การบริหารส่วนจังหวัด ค. กองทุนตำบล ง. กองทุนหลักประกันสุขภาพกรุงเทพมหานคร ,
322,คุณ John Doe (P001)  : ฉันมีอาการเจ็บหน้าอก หายใจลำบาก และมีประวัติความดันโลหิตสูง ควรไปพบหมอแผนกไหน?  ก. Internal Medicine ข. Cardiology ค. Orthopedics ง. Emergency ,
323,Dr. Robert Martinez มีประสบการณ์การทำงานทั้งหมดกี่ปี?  ก. 15 ปี ข. 18 ปี ค. 20 ปี ง. 25 ปี ,
324,ในกรณีการรักษาผู้ป่วยใน เงื่อนไขใหม่ปี 2568 มีการปรับลดการจ่ายค่ารักษาโรคใด?  ก. โรคหลอดเลือดหัวใจ ข. โรคเบาหวาน ค. โรคมะเร็ง ง. โรคไต ,
325,ค่าบริการตรวจอัลตราซาวน์ในเขต 1-12 สำหรับปีงบประมาณ 2567 อยู่ที่เท่าใดต่อการตั้งครรภ์?  ก. 360 บาท ข. 400 บาท ค. 500 บาท ง. 600 บาท ,
326,หลังจากคุณ Sompong Jaidee (P003) เข้าแผนกฉุกเฉิน พบว่าความดัน 135/85 mmHg และมีประวัติแพ้ Aspirin ขั้นตอนต่อไปคือ?  ก. ให้ยา Aspirin ข. ส่งแผนกโรคหัวใจ ค. เช็ค EKG ง. หลีกเลี่ยงยาที่มี Aspirin ,
327,การตรวจ Anti-HIV ครั้งที่ 1 และครั้งที่ 2 ควรห่างกันไม่น้อยกว่ากี่วัน?  ก. 15 วัน ข. 30 วัน ค. 45 วัน ง. 60 วัน ,
328,หน่วยบริการใดที่สามารถรับค่าใช้จ่ายเพิ่มเติมจากการให้บริการผู้ป่วยใน?  ก. หน่วยบริการผู้ป่วยนอก ข. หน่วยบริการผู้ป่วยใน ค. หน่วยบริการฉุกเฉิน ง. หน่วยบริการทั่วไป ,
329,ค่าบริการฟื้นฟูการได้ยินและการฝึกพูดจ่ายให้แก่หน่วยบริการที่มีศักยภาพตามผลงานการให้บริการไม่เกินกี่ครั้งต่อเดือน?  ก. 2 ครั้ง ข. 3 ครั้ง ค. 4 ครั้ง ง. 5 ครั้ง ,
330,การตรวจการดื่อต่อยาต้านเอชไอวี (DR) มีสิทธิ UC และเป็นผู้ติดเชื้อเอชไอวีที่ลงทะเบียนผ่านโปรแกรมใด?  ก. NAP ข. SAP ค. MAP ง. LAP ,
331,ผู้ป่วยที่เดินทางไปเยี่ยมญาติในจังหวัดอื่นต้องการขอรับยาประจำจากหน่วยบริการอื่น ต้องทำอย่างไร?  ก. ไม่สามารถรับยาได้ ต้องกลับไปรับที่จังหวัดตามสิทธิ ข. สามารถรับยาได้ ควรนำยาเดิมให้แพทย์พิจารณาร่วมด้วย ค. ต้องชำระเงินเพิ่มเติม ง. ต้องมีใบรับรองจากแพทย์เฉพาะทางเท่านั้น ,
332,ค่าบริการตรวจอัลตราซาวด์มีค่าใช้จ่ายเท่าใด?  ก. 300 บาท ข. 350 บาท ค. 400 บาท ง. 450 บาท ,
333,กรณีใดที่ผู้มีสิทธิหลักประกันสุขภาพสามารถเข้ารับบริการที่สถานบริการอื่นได้?  ก. กรณีเจ็บป่วยธรรมดา ข. กรณีเจ็บป่วยฉุกเฉิน ค. กรณีไม่มีเหตุอันสมควร ง. กรณีต้องการเปลี่ยนสถานบริการ ,
334,คุณ Supan Wannakul (P004) : ปัจจุบันผมอายุ 32 ปี หากต้องทำการตรวจ CT Scan ผมควรเตรียมตัวอย่างไร?  ก. หลับพักผ่อนให้เพียงพอและทำ CT ปกติ ข. ทำ CT โดยไม่ใช้ contrast ค. ใช้ MRI แทนเนื่องจากพบประวัติการแพ้ไอโอดีน ง. ให้ยาแพ้ก่อน และทำ CT โดยปกติ ,
335,ผู้ที่มีสิทธิหลักประกันสุขภาพแห่งชาติสามารถลงทะเบียนได้โดยวิธีใดบ้าง?  ก. ยื่นคำร้องด้วยตนเอง ข. ผ่านหน่วยบริการประจำ ค. ต้องได้รับความยินยอมจากผู้ปกครอง ง. ถูกทุกข้อ ,
336,ยาสมุนไพรชนิดใดมีรูปแบบเป็นยาน้ำในปีงบประมาณ 2567?  ก. ฟ้าทะลายโจร ข. ยาแก้ไอเมะขามป้อม ค. ขมิ้นชัน ง. เถาวัลย์เปรี้ยง ,
337,บริการฝากครรภ์ในปีงบประมาณ 2567 รวมถึงการให้ยาเสริมชนิดใดบ้าง?  ก. ธาตุเหล็ก ข. กรดโฟลิก ค. ไอโอดีน ง. ถูกทุกข้อ ,
338,หากได้รับความเสียหายจากการรักษาพยาบาล สามารถขอสิทธิการขอรับเงินช่วยเหลือเบื้องต้นได้อย่างไร?  ก. ติดต่อโรงพยาบาลที่รักษา ข. ติดต่อ สปสช. ค. ติดต่อกระทรวงสาธารณสุข ง. ติดต่อกรมบัญชีกลาง ,
339,ในปี พ.ศ. 2565 สิทธิใดมีสัดส่วนประชากรมากที่สุด?  ก. สิทธิหลักประกันสุขภาพแห่งชาติ (UCS) ข. สิทธิประกันสังคม (SSS) ค. สิทธิข้าราชการ/รัฐวิสาหกิจ (OFC) ง. ไม่มีข้อใดถูกต้อง ,
340,หญิงตั้งครรภ์ที่มีอายุเท่าใดที่ถือว่ามีความเสี่ยงสูงในการตรวจคัดกรองกลุ่มอาการดาวน์?  ก. มากกว่า 25 ปี ข. มากกว่า 30 ปี ค. มากกว่า 35 ปี ง. มากกว่า 40 ปี ,
341,ใครมีสิทธิได้รับยาน้ำมันกัญชาที่ผลิตจากช่อดอก?  ก. ผู้ประกันตนทุกคน ข. ผู้ป่วยโรคเรื้อรัง ค. ผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ ง. ไม่มีข้อใดถูกต้อง ,
342,สำนักงานหลักประกันสุขภาพแห่งชาติในกรุงเทพมหานครตั้งอยู่ที่ไหน?  ก. ถนนราชดำเนิน ข. ถนนพระราม 9 ค. ศูนย์ราชการเฉลิมพระเกียรติฯ ถนนแจ้งวัฒนะ ง. ไม่มีข้อใดถูกต้อง ,
343,คุณ Somchai Narong (P014) อายุ 38 ปี มาด้วยอาการปวดหลัง และข้อเข่า ควรส่งแผนกไหน?  ก. แผนกประสาท ข. แผนกออร์โธปิดิกส์ ค. แผนกอายุรกรรม ง. แผนกไต ,
344,จังหวัดใดไม่ได้อยู่ในความรับผิดชอบของ สปสช.เขต 6 สงขลา?  ก. ยะลา ข. นครศรีธรรมราช ค. สตูล ง. ปัตตานี ,
345,หน่วยงานใดที่สามารถยืนคำร้องได้ในขั้นตอนที่ 3?  ก. สำนักทะเบียนอำเภอ ข. สำนักทะเบียนท้องถิ่น ค. กรมการปกครอง ง. ถูกทั้ง ก และ ข ,
